State,District,Year,Rural_Urban,Population,Improved_Water_Access_%,Unimproved_Water_Access_%,Clean_Cooking_Fuel_%,Solid_Fuel_%,Migration_Rate_%,Literacy_Rate_%,Sanitation_Coverage_%,Avg_Income_INR,Region
Punjab,Ludhiana,2011,Rural,480000,76.4,23.6,41.2,58.8,5.5,72.4,58.6,108000,North
Punjab,Ludhiana,2016,Rural,508000,83.2,16.8,52.8,47.2,6.1,77.5,69.8,128000,North
Punjab,Ludhiana,2021,Rural,538000,89.4,10.6,65.4,34.6,6.9,82.8,80.4,158000,North
Punjab,Ludhiana,2011,Urban,1540000,93.8,6.2,82.6,17.4,8.4,90.4,90.8,165000,North
Punjab,Ludhiana,2016,Urban,1682000,96.2,3.8,88.4,11.6,9.5,93.1,94.6,195000,North
Punjab,Ludhiana,2021,Urban,1838000,98.1,1.9,93.2,6.8,10.8,95.6,97.4,238000,North
Punjab,Amritsar,2011,Rural,360000,74.2,25.8,38.4,61.6,5.2,70.8,55.2,102000,North
Punjab,Amritsar,2016,Rural,382000,81.4,18.6,50.1,49.9,5.8,76.2,66.8,122000,North
Punjab,Amritsar,2021,Rural,406000,87.8,12.2,63.2,36.8,6.6,81.6,78.1,152000,North
Punjab,Amritsar,2011,Urban,1132000,92.4,7.6,80.4,19.6,7.9,88.8,89.2,158000,North
Punjab,Amritsar,2016,Urban,1238000,95.4,4.6,86.8,13.2,9.1,91.8,93.5,188000,North
Punjab,Amritsar,2021,Urban,1358000,97.6,2.4,92.1,7.9,10.4,94.5,96.8,228000,North
Rajasthan,Jaipur,2011,Rural,680000,52.4,47.6,14.8,85.2,8.6,58.6,28.4,65000,North
Rajasthan,Jaipur,2016,Rural,725000,63.5,36.5,22.6,77.4,9.8,64.8,40.2,78000,North
Rajasthan,Jaipur,2021,Rural,774000,74.8,25.2,33.8,66.2,11.5,71.4,54.6,98000,North
Rajasthan,Jaipur,2011,Urban,2320000,88.6,11.4,72.4,27.6,11.4,84.8,84.2,138000,North
Rajasthan,Jaipur,2016,Urban,2560000,92.4,7.6,80.2,19.8,12.9,88.6,89.8,164000,North
Rajasthan,Jaipur,2021,Urban,2820000,95.8,4.2,88.4,11.6,15.2,92.8,94.5,202000,North
Tamil Nadu,Chennai,2011,Rural,480000,78.5,21.5,42.4,57.6,5.4,76.4,61.2,105000,South
Tamil Nadu,Chennai,2016,Rural,508000,85.2,14.8,54.8,45.2,6.1,81.2,72.5,126000,South
Tamil Nadu,Chennai,2021,Rural,540000,91.4,8.6,68.2,31.8,7.1,86.8,83.8,155000,South
Tamil Nadu,Chennai,2011,Urban,4560000,96.4,3.6,87.4,12.6,8.2,93.8,94.2,178000,South
Tamil Nadu,Chennai,2016,Urban,5020000,98.1,1.9,92.4,7.6,9.4,96.2,96.8,212000,South
Tamil Nadu,Chennai,2021,Urban,5540000,99.1,0.9,96.1,3.9,10.8,98.1,98.6,258000,South
Tamil Nadu,Coimbatore,2011,Rural,360000,74.6,25.4,38.8,61.2,4.9,73.8,58.4,98000,South
Tamil Nadu,Coimbatore,2016,Rural,382000,82.4,17.6,51.2,48.8,5.5,79.4,70.1,118000,South
Tamil Nadu,Coimbatore,2021,Rural,406000,89.2,10.8,64.8,35.2,6.3,84.8,81.5,146000,South
Tamil Nadu,Coimbatore,2011,Urban,1850000,94.8,5.2,84.6,15.4,7.6,91.4,92.5,168000,South
Tamil Nadu,Coimbatore,2016,Urban,2028000,96.9,3.1,90.2,9.8,8.7,93.8,95.8,198000,South
Tamil Nadu,Coimbatore,2021,Urban,2224000,98.4,1.6,94.8,5.2,9.9,96.4,98.0,242000,South
Uttar Pradesh,Lucknow,2011,Rural,820000,48.5,51.5,10.8,89.2,11.6,54.2,21.8,55000,North
Uttar Pradesh,Lucknow,2016,Rural,875000,59.8,40.2,17.4,82.6,13.2,60.4,33.5,67000,North
Uttar Pradesh,Lucknow,2021,Rural,934000,71.4,28.6,27.8,72.2,15.6,66.8,47.8,85000,North
Uttar Pradesh,Lucknow,2011,Urban,2700000,86.4,13.6,68.4,31.6,13.8,82.4,79.6,125000,North
Uttar Pradesh,Lucknow,2016,Urban,2980000,91.2,8.8,77.2,22.8,15.6,87.2,86.8,150000,North
Uttar Pradesh,Lucknow,2021,Urban,3280000,94.8,5.2,85.8,14.2,18.4,91.8,92.5,188000,North
Uttar Pradesh,Varanasi,2011,Rural,760000,44.8,55.2,9.2,90.8,12.4,51.8,19.4,50000,North
Uttar Pradesh,Varanasi,2016,Rural,812000,56.2,43.8,15.8,84.2,14.1,58.2,31.2,62000,North
Uttar Pradesh,Varanasi,2021,Rural,868000,68.4,31.6,25.6,74.4,16.8,64.6,45.4,80000,North
Uttar Pradesh,Varanasi,2011,Urban,1200000,83.6,16.4,64.2,35.8,14.6,79.8,76.4,118000,North
Uttar Pradesh,Varanasi,2016,Urban,1325000,89.1,10.9,73.6,26.4,16.5,85.1,84.2,142000,North
Uttar Pradesh,Varanasi,2021,Urban,1460000,93.4,6.6,83.2,16.8,19.8,90.4,90.8,178000,North
West Bengal,Kolkata,2011,Rural,640000,58.4,41.6,16.8,83.2,9.8,64.8,36.4,65000,East
West Bengal,Kolkata,2016,Rural,678000,68.9,31.1,25.4,74.6,11.2,70.4,48.2,78000,East
West Bengal,Kolkata,2021,Rural,720000,79.4,20.6,36.8,63.2,13.1,76.2,61.4,98000,East
West Bengal,Kolkata,2011,Urban,4480000,91.2,8.8,76.8,23.2,12.4,89.2,88.4,152000,East
West Bengal,Kolkata,2016,Urban,4920000,94.6,5.4,83.5,16.5,14.1,92.1,92.8,182000,East
West Bengal,Kolkata,2021,Urban,5420000,97.2,2.8,89.8,10.2,16.4,95.2,96.4,222000,East
West Bengal,Howrah,2011,Rural,480000,54.2,45.8,14.2,85.8,10.4,61.4,32.8,60000,East
West Bengal,Howrah,2016,Rural,512000,65.4,34.6,22.8,77.2,11.8,67.8,44.5,74000,East
West Bengal,Howrah,2021,Rural,546000,76.8,23.2,34.2,65.8,13.9,74.2,58.2,94000,East
West Bengal,Howrah,2011,Urban,1072000,89.4,10.6,73.4,26.6,13.2,87.4,86.2,145000,East
West Bengal,Howrah,2016,Urban,1178000,93.2,6.8,81.2,18.8,15.1,90.8,91.4,175000,East
West Bengal,Howrah,2021,Urban,1298000,96.4,3.6,88.4,11.6,17.6,94.2,95.2,214000,East
Himachal Pradesh,Shimla,2011,Rural,380000,82.4,17.6,45.6,54.4,3.2,82.8,68.4,98000,North
Himachal Pradesh,Shimla,2016,Rural,395000,88.6,11.4,57.8,42.2,3.5,86.4,78.2,118000,North
Himachal Pradesh,Shimla,2021,Rural,412000,93.4,6.6,70.4,29.6,3.9,90.2,86.8,145000,North
Himachal Pradesh,Shimla,2011,Urban,165000,95.2,4.8,86.4,13.6,4.8,92.8,93.4,162000,North
Himachal Pradesh,Shimla,2016,Urban,178000,97.4,2.6,91.8,8.2,5.4,95.1,96.2,192000,North
Himachal Pradesh,Shimla,2021,Urban,192000,98.9,1.1,95.6,4.4,6.1,97.2,98.4,235000,North
Uttarakhand,Dehradun,2011,Rural,420000,71.8,28.2,32.4,67.6,6.4,72.8,51.6,88000,North
Uttarakhand,Dehradun,2016,Rural,448000,79.4,20.6,43.8,56.2,7.2,78.4,63.2,106000,North
Uttarakhand,Dehradun,2021,Rural,478000,86.2,13.8,56.4,43.6,8.2,84.2,75.4,132000,North
Uttarakhand,Dehradun,2011,Urban,578000,90.8,9.2,76.4,23.6,8.8,88.6,88.2,148000,North
Uttarakhand,Dehradun,2016,Urban,635000,94.2,5.8,84.2,15.8,10.1,92.4,93.6,178000,North
Uttarakhand,Dehradun,2021,Urban,698000,97.1,2.9,91.4,8.6,11.6,95.8,97.2,218000,North
Assam,Guwahati,2011,Rural,560000,46.8,53.2,10.4,89.6,9.8,56.8,24.2,54000,Northeast
Assam,Guwahati,2016,Rural,594000,57.4,42.6,17.2,82.8,11.2,62.4,35.8,66000,Northeast
Assam,Guwahati,2021,Rural,632000,68.8,31.2,26.8,73.2,13.1,68.8,49.4,84000,Northeast
Assam,Guwahati,2011,Urban,968000,84.2,15.8,62.8,37.2,13.4,80.2,75.8,118000,Northeast
Assam,Guwahati,2016,Urban,1065000,89.4,10.6,72.4,27.6,15.2,85.8,83.4,142000,Northeast
Assam,Guwahati,2021,Urban,1172000,93.6,6.4,82.1,17.9,17.8,90.8,89.8,178000,Northeast
Chhattisgarh,Raipur,2011,Rural,540000,40.2,59.8,8.8,91.2,12.8,50.4,17.6,48000,Central
Chhattisgarh,Raipur,2016,Rural,578000,51.6,48.4,14.6,85.4,14.6,56.8,28.4,60000,Central
Chhattisgarh,Raipur,2021,Rural,618000,63.8,36.2,23.4,76.6,17.2,63.4,42.1,76000,Central
Chhattisgarh,Raipur,2011,Urban,405000,80.4,19.6,56.8,43.2,13.8,76.8,70.8,108000,Central
Chhattisgarh,Raipur,2016,Urban,448000,86.2,13.8,66.4,33.6,15.8,82.2,79.2,132000,Central
Chhattisgarh,Raipur,2021,Urban,495000,91.2,8.8,76.2,23.8,18.6,87.6,86.4,162000,Central
Telangana,Hyderabad,2011,Rural,480000,66.4,33.6,26.8,73.2,6.2,68.2,46.8,88000,South
Telangana,Hyderabad,2016,Rural,512000,74.8,25.2,37.4,62.6,7.1,73.8,58.4,106000,South
Telangana,Hyderabad,2021,Rural,546000,82.6,17.4,49.8,50.2,8.2,79.6,70.2,132000,South
Telangana,Hyderabad,2011,Urban,3900000,94.2,5.8,82.4,17.6,9.8,91.8,91.6,165000,South
Telangana,Hyderabad,2016,Urban,4350000,96.4,3.6,88.2,11.8,11.2,94.2,95.2,198000,South
Telangana,Hyderabad,2021,Urban,4860000,98.2,1.8,93.2,6.8,12.8,96.8,97.8,242000,South
Delhi,New Delhi,2011,Rural,240000,88.4,11.6,58.4,41.6,8.4,85.2,80.8,128000,North
Delhi,New Delhi,2016,Rural,255000,92.6,7.4,68.8,31.2,9.4,89.4,87.6,155000,North
Delhi,New Delhi,2021,Rural,272000,95.8,4.2,79.4,20.6,10.8,93.2,92.8,192000,North
Delhi,New Delhi,2011,Urban,13800000,97.4,2.6,89.4,10.6,12.6,94.8,96.2,198000,North
Delhi,New Delhi,2016,Urban,15600000,98.6,1.4,93.8,6.2,14.4,96.8,97.8,238000,North
Delhi,New Delhi,2021,Urban,17800000,99.4,0.6,97.2,2.8,16.8,98.4,99.1,288000,North
Goa,Panaji,2011,Rural,180000,86.4,13.6,52.4,47.6,3.4,88.4,74.8,125000,West
Goa,Panaji,2016,Rural,188000,91.2,8.8,63.8,36.2,3.8,91.2,82.6,148000,West
Goa,Panaji,2021,Rural,196000,94.8,5.2,75.4,24.6,4.2,93.8,89.4,182000,West
Goa,Panaji,2011,Urban,290000,96.8,3.2,88.4,11.6,5.2,95.2,94.8,178000,West
Goa,Panaji,2016,Urban,312000,98.2,1.8,93.2,6.8,5.8,97.1,97.2,212000,West
Goa,Panaji,2021,Urban,336000,99.2,0.8,96.8,3.2,6.5,98.6,98.8,258000,West
