State,Region,Year,Rural_Urban,water_access,clean_fuel,literacy_rate,sanitation,avg_income,migration_rate
Maharashtra,West,2021,Urban,98.65,94.2,96.65,97.9,251500.0,12.95
Odisha,East,2011,Rural,42.8,9.4,52.6,19.8,50000.0,13.2
Odisha,East,2011,Urban,82.6,60.4,78.2,72.4,112000.0,14.5
Odisha,East,2016,Rural,54.3,15.8,58.4,30.6,62000.0,15.1
Odisha,East,2016,Urban,87.8,69.8,83.5,80.6,136000.0,16.4
Odisha,East,2021,Rural,66.2,25.4,64.8,44.2,78000.0,17.8
Odisha,East,2021,Urban,92.4,79.4,88.6,87.8,168000.0,19.2
Punjab,North,2011,Rural,75.3,39.8,71.6,56.9,105000.0,5.35
Punjab,North,2011,Urban,93.1,81.5,89.6,90.0,161500.0,8.15
Punjab,North,2016,Rural,82.3,51.45,76.85,68.3,125000.0,5.95
Punjab,North,2016,Urban,95.8,87.6,92.45,94.05,191500.0,9.3
Punjab,North,2021,Rural,88.6,64.3,82.2,79.25,155000.0,6.75
Punjab,North,2021,Urban,97.85,92.65,95.05,97.1,233000.0,10.6
Rajasthan,North,2011,Rural,52.4,14.8,58.6,28.4,65000.0,8.6
Rajasthan,North,2011,Urban,88.6,72.4,84.8,84.2,138000.0,11.4
Rajasthan,North,2016,Rural,63.5,22.6,64.8,40.2,78000.0,9.8
Rajasthan,North,2016,Urban,92.4,80.2,88.6,89.8,164000.0,12.9
Rajasthan,North,2021,Rural,74.8,33.8,71.4,54.6,98000.0,11.5
Rajasthan,North,2021,Urban,95.8,88.4,92.8,94.5,202000.0,15.2
Tamil Nadu,South,2011,Rural,76.55,40.6,75.1,59.8,101500.0,5.15
Tamil Nadu,South,2011,Urban,95.6,86.0,92.6,93.35,173000.0,7.9
Tamil Nadu,South,2016,Rural,83.8,53.0,80.3,71.3,122000.0,5.8
Tamil Nadu,South,2016,Urban,97.5,91.3,95.0,96.3,205000.0,9.05
Tamil Nadu,South,2021,Rural,90.3,66.5,85.8,82.65,150500.0,6.7
Tamil Nadu,South,2021,Urban,98.75,95.45,97.25,98.3,250000.0,10.35
Telangana,South,2011,Rural,66.4,26.8,68.2,46.8,88000.0,6.2
Telangana,South,2011,Urban,94.2,82.4,91.8,91.6,165000.0,9.8
Telangana,South,2016,Rural,74.8,37.4,73.8,58.4,106000.0,7.1
Telangana,South,2016,Urban,96.4,88.2,94.2,95.2,198000.0,11.2
Telangana,South,2021,Rural,82.6,49.8,79.6,70.2,132000.0,8.2
Telangana,South,2021,Urban,98.2,93.2,96.8,97.8,242000.0,12.8
Uttar Pradesh,North,2011,Rural,46.65,10.0,53.0,20.6,52500.0,12.0
Uttar Pradesh,North,2011,Urban,85.0,66.3,81.1,78.0,121500.0,14.2
Uttar Pradesh,North,2016,Rural,58.0,16.6,59.3,32.35,64500.0,13.65
Uttar Pradesh,North,2016,Urban,90.15,75.4,86.15,85.5,146000.0,16.05
Uttar Pradesh,North,2021,Rural,69.9,26.7,65.7,46.6,82500.0,16.2
Uttar Pradesh,North,2021,Urban,94.1,84.5,91.1,91.65,183000.0,19.1
Uttarakhand,North,2011,Rural,71.8,32.4,72.8,51.6,88000.0,6.4
Uttarakhand,North,2011,Urban,90.8,76.4,88.6,88.2,148000.0,8.8
Uttarakhand,North,2016,Rural,79.4,43.8,78.4,63.2,106000.0,7.2
Uttarakhand,North,2016,Urban,94.2,84.2,92.4,93.6,178000.0,10.1
Uttarakhand,North,2021,Rural,86.2,56.4,84.2,75.4,132000.0,8.2
Uttarakhand,North,2021,Urban,97.1,91.4,95.8,97.2,218000.0,11.6
West Bengal,East,2011,Rural,56.3,15.5,63.1,34.6,62500.0,10.1
West Bengal,East,2011,Urban,90.3,75.1,88.3,87.3,148500.0,12.8
West Bengal,East,2016,Rural,67.15,24.1,69.1,46.35,76000.0,11.5
West Bengal,East,2016,Urban,93.9,82.35,91.45,92.1,178500.0,14.6
West Bengal,East,2021,Rural,78.1,35.5,75.2,59.8,96000.0,13.5
West Bengal,East,2021,Urban,96.8,89.1,94.7,95.8,218000.0,17.0
